DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1693893600	169869899	9254	0	""	2023-09-05	08:00:00	15361.57	446.97479	2136.5659	39.6786	54.9987	35.1845	39.9717	0.00253063	11.1279	54.5005	-125.5	0.245377	23.9918	161
DATA	1693893601	169869899	9258	0	""	2023-09-05	08:00:01	15361.667	447.20023	2136.5535	39.6773	54.9987	35.1828	39.9717	0.00252856	11.1284	54.5005	-36.75	0.245377	23.9918	197
DATA	1693893602	169869899	9262	0	""	2023-09-05	08:00:02	15357.388	447.2193	2136.4675	39.6773	54.9993	35.1804	39.9719	0.00252333	11.1283	54.5009	-163.5	0.245377	23.9918	143
DATA	1693893603	169869899	9266	0	""	2023-09-05	08:00:03	15355.502	447.00308	2136.5786	39.6765	54.9995	35.1759	39.9721	0.00252754	11.1281	54.5013	-99	0.245377	23.9918	 49
DATA	1693893604	169869899	9270	0	""	2023-09-05	08:00:04	15351.22	447.0314	2136.4785	39.6761	54.9995	35.1714	39.9719	0.00253274	11.1283	54.5013	-158.5	0.245377	23.9934	 73
DATA	1693893605	169524908	9274	0	""	2023-09-05	08:00:05	15345.064	446.34433	2136.6555	39.6753	54.9995	35.1673	39.9717	0.00252964	11.1284	54.5013	-66.5	0.245377	23.9934	127
DATA	1693893606	169524908	9278	0	""	2023-09-05	08:00:06	15344.035	446.28302	2136.6846	39.6749	55.0001	35.1652	39.9717	0.00253315	11.1279	54.5013	-185.25	0.245377	23.993	146
DATA	1693893607	169524908	9282	0	""	2023-09-05	08:00:07	15352.344	446.44589	2136.6365	39.6724	55.0003	35.1591	39.9708	0.00254143	11.1282	54.5013	-118.5	0.243457	23.9934	142
DATA	1693893608	169524908	9286	0	""	2023-09-05	08:00:08	15358.803	446.36713	2136.46	39.6728	55.0003	35.1562	39.969	0.00254565	11.1282	54.5013	-111.5	0.242304	23.9934	239
DATA	1693893609	169524908	9290	0	""	2023-09-05	08:00:09	15360.467	446.22092	2136.3098	39.6728	55.0003	35.1525	39.969	0.00254574	11.1283	54.5013	-146.75	0.242304	23.993	 91
DATA	1693893610	169524908	9294	0	""	2023-09-05	08:00:10	15359.112	445.87628	2136.3064	39.6712	55.0008	35.1484	39.969	0.00254835	11.1284	54.5013	-116.5	0.242304	23.9938	 83
DATA	1693893611	169524908	9298	0	""	2023-09-05	08:00:11	15347.523	446.35602	2136.4155	39.6704	55.001	35.1423	39.969	0.00254738	11.1285	54.5013	-137.5	0.242304	23.9938	 25
DATA	1693893612	169181108	9302	0	""	2023-09-05	08:00:12	15335.139	446.01654	2136.4578	39.6708	55.001	35.1402	39.969	0.0025453	11.1286	54.5013	-115.25	0.242304	23.9934	255
DATA	1693893613	169181108	9306	0	""	2023-09-05	08:00:13	15330.997	445.83978	2136.5093	39.6695	55.001	35.1357	39.969	0.00255375	11.1286	54.5013	-86.5	0.242304	23.9938	  6
DATA	1693893614	169181108	9310	0	""	2023-09-05	08:00:14	15332.955	446.00531	2136.5225	39.6691	55.001	35.1333	39.969	0.00255079	11.1286	54.5011	-93	0.242304	23.9934	111
DATA	1693893615	169181108	9314	0	""	2023-09-05	08:00:15	15335.991	446.12491	2136.4658	39.6687	55.001	35.1292	39.969	0.00256024	11.129	54.5013	-117.25	0.242304	23.9942	 23
DATA	1693893616	169181108	9318	0	""	2023-09-05	08:00:16	15338.98	445.95959	2136.5181	39.6683	55.001	35.1255	39.969	0.00255806	11.1289	54.5007	-96	0.242304	23.9942	119
DATA	1693893617	169181108	9322	0	""	2023-09-05	08:00:17	15339.856	445.22699	2136.5027	39.6667	55.0014	35.1226	39.969	0.00256414	11.1287	54.5007	-48.5	0.242304	23.9922	 41
DATA	1693893618	169181108	9326	0	""	2023-09-05	08:00:18	15338.106	445.53497	2136.6633	39.6667	55.0018	35.1205	39.969	0.00256831	11.1285	54.5005	-104.5	0.242304	23.9926	 83
DATA	1693893619	169181108	9330	0	""	2023-09-05	08:00:19	15335.459	445.28784	2136.4612	39.6659	55.0018	35.1185	39.969	0.00257267	11.1284	54.5005	-142	0.242304	23.993	201
DATA	1693893620	168834924	9334	0	""	2023-09-05	08:00:20	15335.251	445.16016	2136.5186	39.6646	55.0018	35.1148	39.969	0.00257682	11.1285	54.5005	-106	0.242304	23.993	178
DATA	1693893621	168834924	9338	0	""	2023-09-05	08:00:21	15338.022	445.15793	2136.498	39.6646	55.0018	35.1119	39.969	0.00258108	11.1285	54.5007	-135.75	0.242304	23.9926	 94
DATA	1693893622	168834924	9342	0	""	2023-09-05	08:00:22	15339.208	445.44577	2136.6282	39.6638	55.0018	35.105	39.969	0.00258056	11.1284	54.5009	-120.5	0.242304	23.9938	 37
DATA	1693893623	168834924	9346	0	""	2023-09-05	08:00:23	15340.312	445.08276	2136.6521	39.6638	55.0018	35.1005	39.969	0.00257685	11.1283	54.5013	-52	0.242304	23.9942	180
DATA	1693893624	168834924	9350	0	""	2023-09-05	08:00:24	15339.5	444.61496	2136.5547	39.6634	55.002	35.0976	39.969	0.00258907	11.1285	54.5013	-100.75	0.242304	23.9938	255
DATA	1693893625	168834924	9354	0	""	2023-09-05	08:00:25	15338.329	444.94769	2136.6011	39.6622	55.0024	35.0943	39.969	0.00259547	11.1283	54.5013	-150.5	0.242112	23.9942	 89
DATA	1693893626	168834924	9358	0	""	2023-09-05	08:00:26	15339.073	444.76859	2136.7141	39.6622	55.0026	35.0894	39.9688	0.00260299	11.1285	54.5013	-121	0.241536	23.9934	 66
DATA	1693893627	168492078	9362	0	""	2023-09-05	08:00:27	15343.443	444.66412	2136.4209	39.6618	55.0026	35.0861	39.9686	0.0026043	11.1278	54.5013	-111.5	0.241536	23.9938	 85
DATA	1693893628	168492078	9366	0	""	2023-09-05	08:00:28	15349.929	444.51334	2136.5161	39.6597	55.0026	35.0812	39.9686	0.00261024	11.1284	54.5013	-116	0.241536	23.9946	 53
DATA	1693893629	168492078	9370	0	""	2023-09-05	08:00:29	15350.447	444.53708	2136.4744	39.6593	55.0026	35.0796	39.9688	0.00261138	11.1284	54.5013	-142	0.241536	23.9942	 60
DATA	1693893630	168492078	9374	0	""	2023-09-05	08:00:30	15345.462	444.1167	2136.5869	39.6589	55.0026	35.0751	39.9686	0.00261986	11.1285	54.5013	-134.25	0.241152	23.9942	152
DATA	1693893631	168492078	9378	0	""	2023-09-05	08:00:31	15342.537	444.59454	2136.4827	39.6597	55.0026	35.0714	39.9679	0.00260212	11.1286	54.5009	-104.75	0.240767	23.9942	211
DATA	1693893632	168492078	9382	0	""	2023-09-05	08:00:32	15345.118	444.75961	2136.7224	39.6593	55.0026	35.0693	39.9679	0.00259241	11.1281	54.5005	-54.75	0.240767	23.9934	161
DATA	1693893633	168492078	9386	0	""	2023-09-05	08:00:33	15346.292	444.76767	2136.509	39.6593	55.0026	35.0681	39.9679	0.00259091	11.1287	54.5005	-82.5	0.240767	23.993	 27
DATA	1693893634	168492078	9390	0	""	2023-09-05	08:00:34	15346.529	445.31415	2136.4521	39.6601	55.003	35.066	39.9679	0.0025864	11.1289	54.5005	-55.25	0.240767	23.993	200
DATA	1693893635	168147087	9394	0	""	2023-09-05	08:00:35	15343.108	445.08804	2136.6919	39.6589	55.0034	35.064	39.9679	0.00259114	11.1286	54.5005	-165.75	0.240767	23.9934	170
DATA	1693893636	168147087	9398	0	""	2023-09-05	08:00:36	15340.653	445.09097	2136.6794	39.6589	55.0034	35.0603	39.9681	0.00258399	11.1286	54.5013	-90.25	0.240575	23.9938	182
DATA	1693893637	168147087	9402	0	""	2023-09-05	08:00:37	15339.828	444.97314	2136.6235	39.6585	55.0034	35.0574	39.9663	0.00257704	11.1284	54.5013	-124.25	0.238654	23.9958	213
DATA	1693893638	168147087	9406	0	""	2023-09-05	08:00:38	15339.297	445.18066	2136.4856	39.6589	55.0034	35.0525	39.9652	0.00257657	11.1287	54.5013	-134.5	0.238462	23.9946	177
DATA	1693893639	168147087	9410	0	""	2023-09-05	08:00:39	15342.44	445.24036	2136.5752	39.6589	55.0034	35.048	39.9656	0.00257245	11.1283	54.5013	-106.25	0.238462	23.995	 41
DATA	1693893640	168147087	9414	0	""	2023-09-05	08:00:40	15344.589	445.75385	2136.4927	39.6581	55.0034	35.0435	39.9656	0.00256961	11.1282	54.5013	-8.5	0.238462	23.9946	 60
